"","ID_Buzzard","sex","year","min_age","laying_date","max_age","age","Hellmann_winter","NAO_winter","voleMarch","Hellmann_cat","NAO_cat","btw_ind_avg_age","wth_ind_age_cen"
"114",40,2,2005,10,96,20,"old",32.4,0.31,32,"Low","Positive",13.9230769230769,-3.92307692307692
"115",40,2,2004,9,103,20,"old",16.3,0.42,9,"Low","Positive",13.9230769230769,-4.92307692307692
"116",40,2,2003,8,104,20,"old",80.1,0,0,"Medium","Positive",13.9230769230769,-5.92307692307692
"117",41,1,2008,13,101,13,"old",20.3,0.52,18,"Low","Positive",10.5,2.5
"118",41,1,2007,12,100,13,"old",4.8,0.59,36,"Low","Positive",10.5,1.5
"119",41,1,2006,11,99,13,"old",31.5,-0.25,0,"Low","Negative",10.5,0.5
"120",41,1,2005,10,96,13,"old",32.4,0.31,32,"Low","Positive",10.5,-0.5
"121",41,1,2004,9,103,13,"old",16.3,0.42,9,"Low","Positive",10.5,-1.5
"122",41,1,2003,8,104,13,"old",80.1,0,0,"Medium","Positive",10.5,-2.5
"123",43,2,2000,2,95,2,"young",3.6,1.07,10,"Low","Positive",1.5,0.5
"124",43,2,1999,1,86,2,"young",47.7,0.38,37,"Low","Positive",1.5,-0.5
"125",44,1,2003,5,95,5,"young",80.1,0,0,"Medium","Positive",2.6,2.4
"126",44,1,2001,3,90,5,"young",27.7,-0.41,12,"Low","Negative",2.6,0.4
"127",44,1,2000,2,95,5,"young",3.6,1.07,10,"Low","Positive",2.6,-0.6
"128",44,1,2000,2,95,5,"young",3.6,1.07,10,"Low","Positive",2.6,-0.6
"129",44,1,1999,1,86,5,"young",47.7,0.38,37,"Low","Positive",2.6,-1.6
"130",45,2,2015,17,81,17,"old",7.8,1.42,38,"Low","Positive",12.5,4.5
"131",45,2,2014,16,84,17,"old",0,0.86,21,"Low","Positive",12.5,3.5
"132",45,2,2013,15,91,17,"old",73.2,-0.42,1,"Medium","Negative",12.5,2.5
"133",45,2,2012,14,86,17,"old",88.4,1.35,22,"Medium","Positive",12.5,1.5
"134",45,2,2011,13,86,17,"old",80.6,-0.61,0,"Medium","Negative",12.5,0.5
"135",45,2,2010,12,87,17,"old",94.7,-1.18,28,"Medium","Negative",12.5,-0.5
"136",45,2,2009,11,87,17,"old",56.5,0,0,"Medium","Positive",12.5,-1.5
"137",45,2,2008,10,88,17,"old",20.3,0.52,18,"Low","Positive",12.5,-2.5
"138",45,2,2007,9,89,17,"old",4.8,0.59,36,"Low","Positive",12.5,-3.5
"139",45,2,2006,8,90,17,"old",31.5,-0.25,0,"Low","Negative",12.5,-4.5
"140",49,2,1996,1,101,1,"young",150.5,-0.7,7,"High","Negative",1,0
"141",50,1,1996,1,101,1,"young",150.5,-0.7,7,"High","Negative",1,0
"142",51,2,2003,8,91,8,"old",80.1,0,0,"Medium","Positive",8,0
"143",52,1,2005,10,94,10,"old",32.4,0.31,32,"Low","Positive",9,1
"144",52,1,2004,9,90,10,"old",16.3,0.42,9,"Low","Positive",9,0
"145",52,1,2003,8,91,10,"old",80.1,0,0,"Medium","Positive",9,-1
"146",54,2,1996,1,104,1,"young",150.5,-0.7,7,"High","Negative",1,0
"147",55,1,1996,1,104,1,"young",150.5,-0.7,7,"High","Negative",1,0
"148",56,2,2012,17,96,17,"old",88.4,1.35,22,"Medium","Positive",12,5
"149",56,2,2011,16,99,17,"old",80.6,-0.61,0,"Medium","Negative",12,4
"150",56,2,2008,13,94,17,"old",20.3,0.52,18,"Low","Positive",12,1
"151",56,2,2007,12,94,17,"old",4.8,0.59,36,"Low","Positive",12,0
"152",56,2,2006,11,97,17,"old",31.5,-0.25,0,"Low","Negative",12,-1
"153",56,2,2005,10,100,17,"old",32.4,0.31,32,"Low","Positive",12,-2
"154",56,2,2004,9,114,17,"old",16.3,0.42,9,"Low","Positive",12,-3
"155",56,2,2003,8,101,17,"old",80.1,0,0,"Medium","Positive",12,-4
"156",57,1,2012,17,96,17,"old",88.4,1.35,22,"Medium","Positive",12.5,4.5
"157",57,1,2011,16,95,17,"old",80.6,-0.61,0,"Medium","Negative",12.5,3.5
"158",57,1,2010,15,94,17,"old",94.7,-1.18,28,"Medium","Negative",12.5,2.5
"159",57,1,2009,14,93,17,"old",56.5,0,0,"Medium","Positive",12.5,1.5
"160",57,1,2008,13,94,17,"old",20.3,0.52,18,"Low","Positive",12.5,0.5
"161",57,1,2007,12,94,17,"old",4.8,0.59,36,"Low","Positive",12.5,-0.5
"162",57,1,2006,11,97,17,"old",31.5,-0.25,0,"Low","Negative",12.5,-1.5
"163",57,1,2005,10,100,17,"old",32.4,0.31,32,"Low","Positive",12.5,-2.5
"164",57,1,2004,9,114,17,"old",16.3,0.42,9,"Low","Positive",12.5,-3.5
"165",57,1,2003,8,101,17,"old",80.1,0,0,"Medium","Positive",12.5,-4.5
"166",58,2,1997,1,110,1,"young",131.6,0.14,10,"High","Positive",1,0
"167",59,1,2010,14,108,14,"old",94.7,-1.18,28,"Medium","Negative",11.1666666666667,2.83333333333333
"168",59,1,2009,13,92,14,"old",56.5,0,0,"Medium","Positive",11.1666666666667,1.83333333333333
"169",59,1,2008,12,95,14,"old",20.3,0.52,18,"Low","Positive",11.1666666666667,0.833333333333334
"170",59,1,2007,11,93,14,"old",4.8,0.59,36,"Low","Positive",11.1666666666667,-0.166666666666666
"171",59,1,2005,9,102,14,"old",32.4,0.31,32,"Low","Positive",11.1666666666667,-2.16666666666667
"172",59,1,2004,8,101,14,"old",16.3,0.42,9,"Low","Positive",11.1666666666667,-3.16666666666667
"173",60,2,2005,10,94,10,"old",32.4,0.31,32,"Low","Positive",9,1
"174",60,2,2003,8,100,10,"old",80.1,0,0,"Medium","Positive",9,-1
"175",61,1,2009,14,98,14,"old",56.5,0,0,"Medium","Positive",11.4,2.6
"176",61,1,2008,13,96,14,"old",20.3,0.52,18,"Low","Positive",11.4,1.6
"177",61,1,2007,12,91,14,"old",4.8,0.59,36,"Low","Positive",11.4,0.6
"178",61,1,2005,10,94,14,"old",32.4,0.31,32,"Low","Positive",11.4,-1.4
"179",61,1,2003,8,100,14,"old",80.1,0,0,"Medium","Positive",11.4,-3.4
"180",62,2,2010,15,108,15,"old",94.7,-1.18,28,"Medium","Negative",11.5714285714286,3.42857142857143
"181",62,2,2009,14,92,15,"old",56.5,0,0,"Medium","Positive",11.5714285714286,2.42857142857143
"182",62,2,2008,13,95,15,"old",20.3,0.52,18,"Low","Positive",11.5714285714286,1.42857142857143
"183",62,2,2007,12,93,15,"old",4.8,0.59,36,"Low","Positive",11.5714285714286,0.428571428571429
"184",62,2,2005,10,102,15,"old",32.4,0.31,32,"Low","Positive",11.5714285714286,-1.57142857142857
"185",62,2,2004,9,101,15,"old",16.3,0.42,9,"Low","Positive",11.5714285714286,-2.57142857142857
"186",62,2,2003,8,95,15,"old",80.1,0,0,"Medium","Positive",11.5714285714286,-3.57142857142857
"187",63,1,2015,20,102,20,"old",7.8,1.42,38,"Low","Positive",18,2
"188",63,1,2014,19,89,20,"old",0,0.86,21,"Low","Positive",18,1
"189",63,1,2012,17,96,20,"old",88.4,1.35,22,"Medium","Positive",18,-1
"190",63,1,2011,16,99,20,"old",80.6,-0.61,0,"Medium","Negative",18,-2
"191",68,2,2014,16,85,16,"old",0,0.86,21,"Low","Positive",11.625,4.375
"192",68,2,2012,14,95,16,"old",88.4,1.35,22,"Medium","Positive",11.625,2.375
"193",68,2,2011,13,93,16,"old",80.6,-0.61,0,"Medium","Negative",11.625,1.375
"194",68,2,2010,12,101,16,"old",94.7,-1.18,28,"Medium","Negative",11.625,0.375
"195",68,2,2009,11,100,16,"old",56.5,0,0,"Medium","Positive",11.625,-0.625
"196",68,2,2008,10,93,16,"old",20.3,0.52,18,"Low","Positive",11.625,-1.625
"197",68,2,2007,9,89,16,"old",4.8,0.59,36,"Low","Positive",11.625,-2.625
"198",68,2,2006,8,102,16,"old",31.5,-0.25,0,"Low","Negative",11.625,-3.625
"199",69,1,2015,17,96,17,"old",7.8,1.42,38,"Low","Positive",12.2222222222222,4.77777777777778
"200",69,1,2014,16,85,17,"old",0,0.86,21,"Low","Positive",12.2222222222222,3.77777777777778
"201",69,1,2012,14,95,17,"old",88.4,1.35,22,"Medium","Positive",12.2222222222222,1.77777777777778
"202",69,1,2011,13,93,17,"old",80.6,-0.61,0,"Medium","Negative",12.2222222222222,0.777777777777779
"203",69,1,2010,12,101,17,"old",94.7,-1.18,28,"Medium","Negative",12.2222222222222,-0.222222222222221
"204",69,1,2009,11,100,17,"old",56.5,0,0,"Medium","Positive",12.2222222222222,-1.22222222222222
"205",69,1,2008,10,93,17,"old",20.3,0.52,18,"Low","Positive",12.2222222222222,-2.22222222222222
"206",69,1,2007,9,89,17,"old",4.8,0.59,36,"Low","Positive",12.2222222222222,-3.22222222222222
"207",69,1,2006,8,102,17,"old",31.5,-0.25,0,"Low","Negative",12.2222222222222,-4.22222222222222
