"","ID_Buzzard","sex","year","min_age","laying_date"
"449",104,2,2009,11,98
"450",104,2,2008,10,96
"451",104,2,2007,9,91
"452",104,2,2003,5,100
"453",104,2,2000,2,107
"454",105,1,2015,17,99
"455",105,1,2014,16,92
"456",105,1,2012,14,103
"457",105,1,2011,13,104
"458",105,1,2010,12,96
"459",105,1,2008,10,106
"460",105,1,2003,5,100
"461",105,1,2000,2,107
"462",106,2,2000,5,110
"463",106,2,1999,4,103
"464",106,2,1998,3,101
"465",106,2,1997,2,104
"466",106,2,1996,1,96
"467",107,1,2005,10,101
"468",107,1,2004,9,108
"469",107,1,2003,8,100
"470",107,1,2000,5,110
"471",107,1,1999,4,103
"472",107,1,1998,3,101
"473",107,1,1997,2,104
"474",107,1,1996,1,96
"475",110,2,2001,6,91
"476",110,2,2000,5,104
"477",110,2,1999,4,97
"478",111,1,2009,12,104
"479",111,1,2008,11,108
"480",111,1,2007,10,104
"481",111,1,2006,9,108
"482",111,1,2005,8,105
"483",111,1,2004,7,114
"484",111,1,2003,6,116
"485",111,1,2001,4,102
"486",111,1,2000,3,107
"487",111,1,1999,2,123
"488",112,2,2000,5,93
"489",112,2,1998,3,104
"490",112,2,1997,2,110
"491",112,2,1996,1,103
"492",113,1,2004,9,108
"493",113,1,2003,8,111
"494",113,1,2001,6,106
"495",113,1,2001,6,106
"496",113,1,2000,5,110
"497",113,1,1999,4,95
"498",113,1,1998,3,104
"499",113,1,1997,2,110
"500",113,1,1996,1,103
"501",114,2,1999,4,95
"502",114,2,1998,3,111
"503",114,2,1997,2,111
"504",114,2,1996,1,95
"505",115,1,2005,10,98
"506",115,1,2003,8,94
"507",115,1,2001,6,95
"508",115,1,2000,5,106
"509",115,1,1999,4,95
"510",115,1,1998,3,111
"511",115,1,1997,2,111
"512",115,1,1996,1,95
"513",116,2,2003,5,94
"514",116,2,2001,3,101
"515",116,2,2000,2,118
"516",116,2,1999,1,95
"517",116,2,1999,1,95
"518",117,1,1999,1,95
"519",118,2,2001,2,106
"520",118,2,2000,1,110
"521",122,2,2011,16,107
"522",122,2,2010,15,103
"523",122,2,2009,14,98
"524",122,2,2008,13,105
"525",122,2,2007,12,108
"526",122,2,2006,11,116
"527",122,2,2005,10,98
"528",122,2,2003,8,94
"529",122,2,2001,6,95
"530",122,2,2000,5,106
"531",122,2,1999,4,89
"532",122,2,1996,1,91
"533",126,2,2015,17,79
"534",126,2,2014,16,80
"535",126,2,2013,15,90
"536",126,2,2012,14,85
"537",126,2,2011,13,86
"538",126,2,2010,12,86
"539",126,2,2009,11,86
"540",126,2,2008,10,84
"541",126,2,2007,9,85
"542",126,2,2006,8,92
"543",127,1,2015,17,79
"544",127,1,2014,16,80
"545",127,1,2013,15,90
"546",127,1,2012,14,85
"547",127,1,2011,13,86
"548",127,1,2010,12,86
"549",127,1,2009,11,86
"550",127,1,2008,10,84
"551",127,1,2007,9,85
"552",127,1,2006,8,92
"553",128,2,2010,15,93
"554",128,2,2006,11,104
"555",128,2,2005,10,100
"556",128,2,2004,9,98
"557",128,2,2001,6,101
"558",128,2,2000,5,94
"559",128,2,1999,4,99
"560",128,2,1998,3,109
"561",128,2,1997,2,95
"562",128,2,1996,1,92
"563",129,1,2001,6,101
"564",129,1,2000,5,94
"565",129,1,1999,4,99
"566",129,1,1998,3,109
"567",129,1,1997,2,95
"568",129,1,1996,1,92
"569",130,2,2007,12,99
"570",130,2,2005,10,104
"571",130,2,2004,9,99
"572",130,2,2003,8,106
"573",130,2,2003,8,123
"574",130,2,2001,6,90
"575",130,2,2000,5,100
"576",130,2,1999,4,90
"577",130,2,1998,3,109
"578",130,2,1997,2,98
"579",130,2,1996,1,95
"580",131,1,1998,3,109
"581",131,1,1997,2,98
"582",131,1,1996,1,95
"583",137,1,2015,15,96
"584",137,1,2014,14,97
"585",137,1,2013,13,106
"586",137,1,2012,12,100
"587",137,1,2011,11,105
"588",137,1,2010,10,97
"589",137,1,2007,7,106
"590",137,1,2006,6,100
"591",137,1,2004,4,95
"592",140,2,2000,4,87
"593",140,2,1997,1,93
"594",141,1,2000,4,87
"595",141,1,1997,1,93
"596",143,2,1999,1,91
"597",144,1,1999,1,91
"598",145,2,2001,5,96
"599",145,2,2000,4,108
"600",145,2,1999,3,103
"601",145,2,1998,2,138
"602",145,2,1997,1,106
"603",147,2,2011,15,89
"604",147,2,2001,5,85
"605",148,1,2015,19,89
"606",148,1,2014,18,83
"607",148,1,2012,16,89
"608",148,1,2011,15,89
"609",148,1,2001,5,85
"610",149,2,2001,4,100
"611",149,2,2000,3,98
"612",149,2,1999,2,116
"613",150,1,2001,4,100
"614",150,1,2000,3,98
"615",150,1,1999,2,116
"616",155,2,2001,2,89
"617",156,1,2001,6,89
"618",156,1,1997,2,97
"619",157,2,2000,5,103
"620",157,2,1998,3,100
"621",157,2,1997,2,97
"622",158,1,2001,4,99
"623",158,1,2000,3,103
"624",158,1,1998,1,100
"625",159,2,2007,12,94
"626",159,2,2006,11,93
"627",159,2,2004,9,83
"628",159,2,2003,8,95
"629",159,2,2001,6,89
"630",159,2,2000,5,98
"631",159,2,1999,4,88
"632",159,2,1998,3,107
"633",159,2,1997,2,107
"634",159,2,1996,1,93
"635",160,1,2001,6,89
"636",160,1,2000,5,98
"637",160,1,1999,4,88
"638",160,1,1998,3,107
"639",160,1,1997,2,107
"640",160,1,1996,1,93
